"track_id","track_name","duration","explicit"
"5z2pkfNzSL9Ad87xcQQEdw","Frijo: Bzrp Music Sessions, Vol. 10","130912","1"
"7BuSE9uTIw931wtZYzvZcQ","Runaway","200693","0"
"0ri6HvRxDmSXudAxwG3FiM","Cristina Remix","141241","0"
"0UQwlF2pRkr1lMN6kNNUj3","La Boca","206279","0"
"45W2wFalCHxcTtrWuH60Ii","La Cola","169250","0"
"0ueg5iK0wyh5EgHvtIz4qL","Soltera Vá","161181","0"
"2B94bbI1a4LyBpK1439oP7","Cuerpo en Venta","254413","0"
"5qN1G8fSHq4Sv5FRoOkNGu","Por Eso Vine","178534","0"
"2Zbw0nOYZoKU27sOYbrsv7","Fresko","201290","0"
"6jDx3MNG0yJdrvEBZohKBE","Ocho Cuarenta","354626","0"
"3LNZSTiwQYL7BnTfHvIOII","Una Cerveza","240853","0"
"4fj7e6Tc48Bmomwyz2Z2XC","Te Quemaste","199090","0"
"6hw1Sy9wZ8UCxYGdpKrU6M","Roller","157093","1"
"2LgsKzO8lCeXk0TMd9veWW","Vor der Tür","171020","1"
"1E1YyZjbteIz2XQyLvtRxD","Skifahren (feat. Joshi Mizu)","162650","1"
"1B89LtaW92jj4AqT7OZ0Fj","KEIN SCHLAF","200493","0"
"6Y7ZEVr7lgO8FKGk2vZ2hi","Nur zur Info","142231","1"
"67ojvEGRPAUCOohuMPqoRC","110","194534","1"
"76IVpz47q3ghkxoUeTTEKb","COLT","179812","1"
"2M39v73rNJmAXUXIW0oagP","Der Bratan bleibt der gleiche","192147","1"
"2PGA1AsJal6cyMNmKyE56q","200 km/h","163146","1"
"6dNB3XdAzx7kTf5wa8Rg89","Wieso tust Du dir das an?","176066","1"
"58cWbqYLz06X69SqJiYeky","100%","196061","0"
"4OVF6uwZlMOSlZmHDnwliX","Keine Liebe","198080","0"
"0bg9us6qbMWTAMSF3y4egO","Puta Madre - Bonustrack","209032","1"
"26FNTVsgF4m31xvDgFfhGW","Mit Dir","158049","0"
"1VEMUkGFio5uURvN8x1DZJ","Tilidin","172035","1"
"2u8AXJyk8pICzj2wyPBL0b","2002","237157","0"
"4UOXo3xWnxYdTf3sFyRaUG","500 PS","181971","1"
